Absolute path,Relative path,Class name
C:\Users\nasty\ap_laba2\dataset1\rose\0000.jpg,rose\0000.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0001.jpg,rose\0001.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0002.jpg,rose\0002.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0003.jpg,rose\0003.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0004.jpg,rose\0004.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0005.jpg,rose\0005.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0006.jpg,rose\0006.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0007.jpg,rose\0007.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0008.jpg,rose\0008.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0009.jpg,rose\0009.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0010.jpg,rose\0010.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0011.jpg,rose\0011.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0012.jpg,rose\0012.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0013.jpg,rose\0013.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0014.jpg,rose\0014.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0015.jpg,rose\0015.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0016.jpg,rose\0016.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0017.jpg,rose\0017.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0018.jpg,rose\0018.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0019.jpg,rose\0019.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0020.jpg,rose\0020.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0021.jpg,rose\0021.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0022.jpg,rose\0022.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0023.jpg,rose\0023.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0024.jpg,rose\0024.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0025.jpg,rose\0025.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0026.jpg,rose\0026.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0027.jpg,rose\0027.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0028.jpg,rose\0028.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0029.jpg,rose\0029.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0030.jpg,rose\0030.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0031.jpg,rose\0031.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0032.jpg,rose\0032.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0033.jpg,rose\0033.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0034.jpg,rose\0034.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0035.jpg,rose\0035.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0036.jpg,rose\0036.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0037.jpg,rose\0037.jpg,rose
